sds_sensor,bme_sensor,lat,lon,sealevel,surface_alt,surface_level,geometry,nearest_park,nearest_road,nearest_indust
34673,34674,55.668,37.858,152.9628439202011,135.0,17.962843920201095,POINT (37.858 55.668),1816.495980039309,1212.6632022464826,774.7494587171432
53730,53731,55.65123323,37.46933073,195.28954943749508,185.0,10.289549437495085,POINT (37.46933073 55.65123323),727.2107350140991,1287.2987788366681,1314.1535576828874
53425,53426,55.86372286,37.47534156,201.49102898508028,173.0,28.49102898508028,POINT (37.47534156 55.86372286),2145.438451832417,307.0213230058634,996.0509677232762
23317,23318,55.918,37.746,185.5392989742042,159.0,26.5392989742042,POINT (37.746 55.918),1536.0873128260832,319.7120207431936,814.2195227632106
46112,46113,55.614,37.29,186.52936307235728,189.0,-2.470636927642716,POINT (37.29 55.614),805.7469238047705,637.1497704238357,313.57363011241813
35442,35443,55.654,37.592,184.1232599293588,183.0,1.1232599293588237,POINT (37.592 55.654),1245.809563773294,349.1053820303994,1549.1103497669533
24577,24578,55.93314101,37.50281811,221.69435931320675,186.0,35.694359313206746,POINT (37.50281811 55.93314101),1260.6960909072109,177.90140379593754,1303.2339702906108
39446,39447,55.72765355,37.33598987,180.11100166542298,175.0,5.111001665422975,POINT (37.33598987 55.72765355),2404.59248835085,587.5050245688013,264.8496463370716
39146,39147,55.85,37.632,139.9804191053286,146.0,-6.019580894671407,POINT (37.632 55.85),523.73783467848,738.3805146479443,549.6233144550289
42652,42653,56.0,37.488,225.47281240999183,187.0,38.47281240999186,POINT (37.488 56),902.4484037209705,3861.8840482466517,1898.2366745373884
33509,33510,55.684,37.482,194.63530379499736,172.0,22.635303794997355,POINT (37.482 55.684),962.7651752838779,270.9624710448478,2156.9767514635187
44308,44309,55.846,37.34,1155.7347757294156,173.0,982.7347757294156,POINT (37.34 55.846),1667.4861877795179,648.1286299019677,912.4632156852622
26219,26220,55.574,37.474,211.64608318921265,201.0,10.646083189212618,POINT (37.474 55.574),2531.0140359152474,79.37729495335871,627.3394984576987
39050,39051,55.852,37.644,189.44986651240677,149.0,40.44986651240674,POINT (37.644 55.852),2022.2112433996313,179.45270979575105,1380.441425580977
23294,23295,55.667277,37.519822,263.00206130080426,215.0,48.00206130080426,POINT (37.519822 55.667277),1437.0355387796637,472.21324878483557,2156.899846454545
46435,46436,55.78991095,37.93598661,177.60457306008362,152.0,25.604573060083624,POINT (37.93598661 55.78991095),522.3301556832962,689.5194919140189,625.9285767338978
36947,36948,55.69,37.574,176.4761016437323,179.0,-2.523898356267665,POINT (37.574 55.69),3443.495663556739,106.60838689215669,582.5587529674065
28509,28510,55.684,37.928,128.37341358700442,128.0,0.3734135870044213,POINT (37.928 55.684),501.0596021210975,544.2896359221495,872.4886156365957
44026,44027,55.698,37.46,173.6909116440372,159.0,14.690911644037216,POINT (37.46 55.698),1030.0033911901571,187.20665842135602,384.6672514188599
35618,35619,55.786,37.168,166.7755317791832,176.0,-9.224468220816789,POINT (37.168 55.786),1366.9748405424648,1114.3821081598317,5075.738610981152
37791,37792,55.766,37.57,151.18283002558198,150.0,1.1828300255819784,POINT (37.57 55.766),1446.2644185474967,803.0720959116147,356.26702629056814
54147,54148,55.89069243,37.46927169,175.45076515751606,175.0,0.4507651575160594,POINT (37.46927169 55.89069243),162.07943322665267,1282.1460902674205,270.451699900719
49482,49483,55.72430458,37.7412343,169.61075006130872,139.0,30.61075006130872,POINT (37.7412343 55.72430458),1183.8407565018665,304.9181569964699,236.07046165147952
36937,36938,55.87604172,37.31332484,193.761566400972,194.0,-0.2384335990280419,POINT (37.31332484 55.87604172),1094.7542717986244,1249.6202408075635,374.60546043024647
23512,23516,55.784,37.572,147.07467144332068,165.0,-17.925328556679318,POINT (37.572 55.784),2829.022137382277,156.94286020598597,1060.5944280629521
49824,49825,55.708,37.478,185.50451946854136,169.0,16.50451946854136,POINT (37.478 55.708),622.84075120537,994.7390829279659,1085.733282662516
49894,49895,55.54359022,37.49738663,184.64278615022403,176.0,8.642786150224026,POINT (37.49738663 55.54359022),1092.4500579707706,604.2295837799467,2327.5683751084407
43176,43177,55.64,37.532,253.26831737894764,235.0,18.268317378947643,POINT (37.532 55.64),1933.7606615020661,190.69218672693415,2232.875779520553
43176,43298,55.64,37.532,242.49563971864768,235.0,7.495639718647681,POINT (37.532 55.64),1933.7606615020661,190.69218672693415,2232.875779520553
44454,44455,55.51291,37.760158,156.91511666474332,157.0,-0.0848833352566771,POINT (37.760158 55.51291),1060.4849299022467,331.9320686736892,1843.7724654108042
43445,43446,56.002098,37.483761,192.93576101646636,190.0,2.93576101646633,POINT (37.483761 56.002098),1226.152944974177,3504.3086968862613,1139.2691356531438
32709,32710,55.660748,37.774683,146.19802554092652,116.0,30.198025540926523,POINT (37.774683 55.660748),558.0528889189908,174.695283582158,951.3881457780166
33495,33496,55.812,37.56,167.94440761430243,168.0,-0.0555923856975653,POINT (37.56 55.812),1848.0583703233701,2206.2778745704895,1583.7348855163534
30904,30905,55.93632689,37.51895696,196.11811495196292,189.0,7.118114951962951,POINT (37.51895696 55.93632689),756.4964392402379,56.46743402693765,1219.403753638192
42696,42697,55.6287228,37.47536302,249.62572783812865,221.0,28.625727838128626,POINT (37.47536302 55.6287228),1127.1601126568778,393.1022504262988,1710.5757460001744
23642,23643,55.788,37.572,159.29985710445615,164.0,-4.7001428955438485,POINT (37.572 55.788),2322.99541729933,266.1703352037781,1187.9393851431869
26421,26422,55.76,37.412,204.88561679874056,186.0,18.88561679874056,POINT (37.412 55.76),1007.638837051154,937.6760799556139,1430.6087175595005
46110,46111,55.992,37.252,216.0013148977021,195.0,21.00131489770212,POINT (37.252 55.992),901.6287630384727,850.4385625907192,2070.9313196836088
37077,37078,55.998,37.212,218.79312179423488,211.0,7.793121794234878,POINT (37.212 55.998),1554.4491202469676,92.0897984615111,1828.6818715651743
44147,44148,55.848,37.368,210.61142841042988,180.0,30.61142841042988,POINT (37.368 55.848),1703.3039782090757,315.1896526795832,717.3501747092317
49720,49721,55.70257273,37.48971552,182.20548316504815,157.0,25.20548316504818,POINT (37.48971552 55.70257273),1568.3972150387413,684.4514632694122,149.09050535513438
46156,46157,55.60948516,37.53497213,280.3196199027656,228.0,52.31961990276557,POINT (37.53497213 55.60948516),2339.6299730020373,42.161367302134536,1515.5671441924007
22314,22315,55.686,37.566,85.79070785600601,186.0,-100.209292143994,POINT (37.566 55.686),2844.37956814344,599.2385038666681,1017.309496565575
32465,32466,55.73,37.588,136.21248451210118,131.0,5.2124845121011845,POINT (37.588 55.73),1655.7311345440605,7.988409338149807,1410.282390308057
56263,56264,55.69929287,37.49041826,169.75162016886236,172.0,-2.2483798311376404,POINT (37.49041826 55.69929287),1685.78367746125,920.6082872471787,567.352709064068
24323,24324,55.80004775,37.53142923,164.55290005399127,166.0,-1.4470999460087342,POINT (37.53142923 55.80004775),1133.108300643487,31.742081832891948,873.6488489114978
